RegistrationNumber,binomial,Year,Continent,Country,Certainty,redlist,ecology,duplicates,duplicates_year,Decade,Extent_km,Percent_overlap,binomial_overlap
NHMUK_61.1095,Smutsia gigantea,1905,Africa,Uganda,25,VU,Terrestrial,0,0,1900,4.92,100,1
NHMUK_61.1096,Smutsia gigantea,1913,Africa,Democratic Republic of the Congo,25,VU,Terrestrial,0,0,1910,62.79,100,1
NHMUK_69.371,Smutsia gigantea,,Africa,W. Africa,100,VU,Terrestrial,0,0,,1955.82,1.244282109,1
NHMUK_81.241,Smutsia gigantea,,Africa,Central African Republic,100,VU,Terrestrial,0,0,,110.96,0,0
NHMUK_22.12.17.248,Smutsia gigantea,,Africa,Nigeria,25,VU,Terrestrial,0,0,,44.4,0,0
NHMUK_29.5.29.38,Smutsia gigantea,,Africa,Ghana,25,VU,Terrestrial,0,0,,3.15,100,1
NHMUK_35.12.18.3,Smutsia gigantea,1935,Africa,South Sudan,100,VU,Terrestrial,0,0,1930,145.39,0,0
NHMUK_65.3.30.3,Smutsia gigantea,,Africa,W. Africa,100,VU,Terrestrial,1,1,,1955.82,1.244282109,1
NHMUK_69.5.13.5,Smutsia gigantea,,Africa,Ghana,50,VU,Terrestrial,0,0,,8.09,46.06422634,1
NHMUK_no reg 1,Smutsia gigantea,1946,Africa,Sierra Leone,75,VU,Terrestrial,0,0,1940,3.08,72.66227196,1
NHMUK_no reg 11,Smutsia gigantea,,Africa,W. Africa,100,VU,Terrestrial,1,1,,1955.82,1.244282109,1
UMMZ_39509,Smutsia gigantea,,Africa,Cameroon,75,VU,Terrestrial,0,0,,0.00705,100,1
UMMZ_39140,Smutsia gigantea,,Africa,Cameroon,75,VU,Terrestrial,1,1,,0.00705,100,1
MHNG_MHNG-MAM-912.044,Smutsia gigantea,1954,Africa,Cameroon,75,VU,Terrestrial,0,0,1950,3.56,100,1
KU_147239,Smutsia gigantea,1951,Africa,Democratic Republic of the Congo,75,VU,Terrestrial,0,0,1950,91.5,100,1
ROM_34405,Smutsia gigantea,1965,Africa,Uganda,75,VU,Terrestrial,0,0,1960,276,94.16443064,1
USNM_101449,Smutsia gigantea,,Africa,Democratic Republic of the Congo,75,VU,Terrestrial,0,0,,290.87,1.015604498,1
AMNH_M-53858,Smutsia gigantea,1914,Africa,Democratic Republic of the Congo,75,VU,Terrestrial,0,0,1910,1646.07,52.3749659,1
AMNH_M-53857,Smutsia gigantea,1914,Africa,Democratic Republic of the Congo,75,VU,Terrestrial,1,1,1910,1646.07,52.3749659,1
RBINS_35059,Smutsia gigantea,1981,Africa,Democratic Republic of the Congo,75,VU,Terrestrial,0,0,1980,1646.07,43.07920345,1
AMNH_M-53846,Smutsia gigantea,1913,Africa,Democratic Republic of the Congo,75,VU,Terrestrial,0,0,1910,1646.07,33.9173957,1
MHNG_MHNG-MAM-619.045,Smutsia gigantea,,Africa,Liberia,100,VU,Terrestrial,0,0,,247.54,100,1
MHNG_MHNG-MAM-620.056,Smutsia gigantea,,Africa,Liberia,100,VU,Terrestrial,1,1,,247.54,100,1
USNM_269706,Smutsia gigantea,1940,Africa,Liberia,25,VU,Terrestrial,0,0,1940,0.125,100,1
USNM_220404,Smutsia gigantea,1918,Africa,Gabon,100,VU,Terrestrial,0,0,1910,25.51,93.47641338,1
GNM_Ma ex 877,Smutsia gigantea,1916,Africa,Democratic Republic of the Congo,50,VU,Terrestrial,0,0,1910,0.01,100,1
USNM_598577,Smutsia gigantea,1968,Africa,Equatorial Guinea,50,VU,Terrestrial,0,0,1960,4.495,100,1
USNM_598576,Smutsia gigantea,1967,Africa,Equatorial Guinea,100,VU,Terrestrial,0,0,1960,38.795,66.79124604,1
MNHN_AC-1869-760,Smutsia gigantea,1869,Africa,Togo,100,VU,Terrestrial,0,0,1860,291.11,0.280802483,1
MNHN_MO-1991-301,Smutsia gigantea,,Africa,Ghana,100,VU,Terrestrial,0,0,,380.2,20.23742129,1
MHNG_MHNG-MAM-601.074,Smutsia gigantea,,Africa,Sierra Leone,75,VU,Terrestrial,0,0,,8.76,100,1
MHNG_MHNG-MAM-601.080,Smutsia gigantea,,Africa,Sierra Leone,75,VU,Terrestrial,1,1,,8.76,100,1
O_18155,Smutsia gigantea,,Africa,West Africa,75,VU,Terrestrial,1,1,,1955.82,1.244282109,1
MNHN_AC-VI-253,Smutsia gigantea,1850,Africa,Togo,100,VU,Terrestrial,1,0,1850,291.11,0.280802483,1
NHMUK_49.77,Manis crassicaudata,1948,Asia,Sri Lanka,25,EN,Terrestrial,0,0,1940,3.98,0,0
NHMUK_50.29,Manis crassicaudata,1936,Asia,Sri Lanka,25,EN,Terrestrial,0,0,1930,2.66,100,1
NHMUK_57.487,Manis crassicaudata,,Asia,Sri Lanka,100,EN,Terrestrial,0,0,,256.56,31.65049745,1
NHMUK_57.488,Manis crassicaudata,,Asia,Sri Lanka,100,EN,Terrestrial,1,1,,256.56,31.65049745,1
NHMUK_76.138,Manis crassicaudata,1935,Asia,Sri Lanka,25,EN,Terrestrial,1,0,1930,2.66,100,1
NHMUK_76.138,Manis crassicaudata,1935,Asia,Sri Lanka,25,EN,Terrestrial,1,1,1930,2.66,100,1
NHMUK_76.141,Manis crassicaudata,,Asia,Sri Lanka,100,EN,Terrestrial,1,1,,256.56,31.65049745,1
NHMUK_34.3.4.1,Manis crassicaudata,1933,Asia,Burma,75,EN,Terrestrial,0,0,1930,0.05,0,0
NHMUK_77.3.14.8,Manis crassicaudata,,Asia,Sri Lanka,50,EN,Terrestrial,0,0,,5.63,100,1
NHMUK_91.1.31.1,Manis crassicaudata,,Asia,India,50,EN,Terrestrial,0,0,,16.7,100,1
OMNH_659,Manis crassicaudata,1965,Asia,Pakistan,75,EN,Terrestrial,0,0,1960,3.036,59.54893479,1
FMNH_92879,Manis crassicaudata,1959,Asia,Sri Lanka,75,EN,Terrestrial,0,0,1950,3.51,100,1
FMNH_82823,Manis crassicaudata,1922,Asia,India,75,EN,Terrestrial,0,0,1920,3.69,100,1
KU_26648,Manis crassicaudata,1944,Asia,Sri Lanka,75,EN,Terrestrial,0,0,1940,4.64,100,1
FMNH_98264,Manis crassicaudata,1963,Asia,Sri Lanka,75,EN,Terrestrial,0,0,1960,13.8,97.91900756,1
MCZ_BOM-5305,Manis crassicaudata,1810,Asia,India,75,EN,Terrestrial,0,0,1810,60.957,100,1
MHNG_MHNG-MAM-1496.018,Manis crassicaudata,1977,Asia,Pakistan,75,EN,Terrestrial,0,0,1970,88.35,53.74526648,1
AMNH_M-34255,Manis crassicaudata,1910,Asia,Sri Lanka,50,EN,Terrestrial,0,0,1910,4.65,57.26281963,1
MCZ_BOM-1066,Manis crassicaudata,1700,Asia,India,75,EN,Terrestrial,0,0,1700,49.91,99.21328045,1
MCZ_BOM-1065,Manis crassicaudata,1700,Asia,India,75,EN,Terrestrial,1,1,1700,49.91,99.21328045,1
MCZ_32522,Manis crassicaudata,1934,Asia,Sri Lanka,100,EN,Terrestrial,0,0,1930,58,78.65763429,1
RBINS_301B,Manis crassicaudata,1932,Asia,Sri Lanka,75,EN,Terrestrial,0,0,1930,274.14,31.40244152,1
ROM_2603230109,Manis crassicaudata,,Asia,India,50,EN,Terrestrial,0,0,,1.09962,100,1
NHMUK_39.4048,Manis pentadactyla,,Asia,China,100,CR,Terrestrial,0,0,,2824.1,13.83845263,1
NHMUK_47.326,Manis pentadactyla,1940,Asia,India,75,CR,Terrestrial,0,0,1940,92.64,69.90198383,1
NHMUK_50.751,Manis pentadactyla,1939,Asia,Myanmar,75,CR,Terrestrial,0,0,1930,0.03,100,1
NHMUK_50.752,Manis pentadactyla,1939,Asia,Myanmar,75,CR,Terrestrial,0,0,1930,0.03,100,1
NHMUK_50.753,Manis pentadactyla,1939,Asia,Myanmar,75,CR,Terrestrial,0,0,1930,0.03,100,1
NHMUK_53.658,Manis pentadactyla,,Asia,Republic of China,100,CR,Terrestrial,0,0,,212.06,25.36159712,1
NHMUK_63.36,Manis pentadactyla,1962,Asia,Nepal,75,CR,Terrestrial,0,0,1960,0.03,100,1
NHMUK_73.1585,Manis pentadactyla,,Asia,South China,100,CR,Terrestrial,0,0,,1266.57,48.19356685,1
NHMUK_81.2688,Manis pentadactyla,,Asia,India,100,CR,Terrestrial,0,0,,1677.15,3.507251031,1
NHMUK_81.2689,Manis pentadactyla,,Asia,China,100,CR,Terrestrial,1,1,,2824.1,13.83845263,1
NHMUK_1996.498,Manis pentadactyla,1931,Asia,China,100,CR,Terrestrial,0,0,1930,587.23,95.38220679,1
NHMUK_14.7.19.238,Manis pentadactyla,,Asia,Myanmar,50,CR,Terrestrial,0,0,,11.76,0,0
NHMUK_2.6.10.63,Manis pentadactyla,,Asia,China,100,CR,Terrestrial,1,1,,2824.1,13.83845263,1
NHMUK_21.10.5.4,Manis pentadactyla,,Asia,India,100,CR,Terrestrial,1,1,,1677.15,3.507251031,1
NHMUK_21.8.2.27,Manis pentadactyla,1920,Asia,India,75,CR,Terrestrial,1,0,1920,92.64,69.90198383,1
NHMUK_33.4.1.506,Manis pentadactyla,1929,Asia,Vietnam,100,CR,Terrestrial,0,0,1920,31.27,100,1
NHMUK_33.4.1.507,Manis pentadactyla,1929,Asia,Vietnam,100,CR,Terrestrial,1,1,1920,31.27,100,1
NHMUK_33.4.1.508,Manis pentadactyla,,Asia,Southeast Asia,100,CR,Terrestrial,0,0,,1672.79,25.80231105,1
NHMUK_33.4.1.509,Manis pentadactyla,,Asia,Vietnam,100,CR,Terrestrial,0,0,,920.18,15.78076244,1
NHMUK_33.4.1.510,Manis pentadactyla,,Asia,Vietnam,100,CR,Terrestrial,1,1,,920.18,15.78076244,1
NHMUK_37.6.10.1,Manis pentadactyla,,Asia,India,100,CR,Terrestrial,1,1,,1677.15,3.507251031,1
NHMUK_38.9.7.57,Manis pentadactyla,1932,Asia,China,100,CR,Terrestrial,0,0,1930,32.26,27.29234038,1
NHMUK_38.9.7.58,Manis pentadactyla,,Asia,China,100,CR,Terrestrial,1,0,,32.26,27.29234038,1
NHMUK_43.1.12.85,Manis pentadactyla,,Asia,Nepal,100,CR,Terrestrial,0,0,,467.05,15.35784207,1
NHMUK_45.1.12.462,Manis pentadactyla,,Asia,Nepal,100,CR,Terrestrial,1,1,,467.05,15.35784207,1
NHMUK_48.6.11.7,Manis pentadactyla,,Asia,India,100,CR,Terrestrial,0,0,,74.41,42.0695956,1
NHMUK_57.1.22.8,Manis pentadactyla,,Asia,India,100,CR,Terrestrial,1,1,,1677.15,3.507251031,1
NHMUK_58.6.24.34,Manis pentadactyla,,Asia,India,100,CR,Terrestrial,1,1,,74.41,42.0695956,1
NHMUK_58.6.24.35,Manis pentadactyla,,Asia,India,100,CR,Terrestrial,1,1,,74.41,42.0695956,1
NHMUK_7.7.3.25,Manis pentadactyla,1900,Asia,China,75,CR,Terrestrial,0,0,1900,50.3,59.23875178,1
NHMUK_72.11.13.1,Manis pentadactyla,1868,Asia,China,100,CR,Terrestrial,0,0,1860,167.98,58.88879144,1
NHMUK_72.11.13.2,Manis pentadactyla,,Asia,Taiwan,100,CR,Terrestrial,0,0,,218.3,23.7764544,1
NHMUK_72.11.13.3,Manis pentadactyla,,Asia,Taiwan,100,CR,Terrestrial,1,1,,218.3,23.7764544,1
NHMUK_72.11.13.4,Manis pentadactyla,1867,Asia,China,50,CR,Terrestrial,0,0,1860,46.93,57.42643646,1
NHMUK_72.11.13.5,Manis pentadactyla,,Asia,China,50,CR,Terrestrial,1,0,,46.93,57.42643646,1
NHMUK_72.11.13.6,Manis pentadactyla,,Asia,China,50,CR,Terrestrial,1,1,,46.93,57.42643646,1
NHMUK_72.11.13.7,Manis pentadactyla,1867,Asia,China,50,CR,Terrestrial,1,1,1860,46.93,57.42643646,1
NHMUK_72.11.13.8,Manis pentadactyla,1868,Asia,China,100,CR,Terrestrial,1,1,1860,167.98,58.88879144,1
NHMUK_79.11.21.646,Manis pentadactyla,,Asia,Bangladesh,100,CR,Terrestrial,0,0,,477.63,12.76865124,1
NHMUK_79.11.21.651,Manis pentadactyla,,Asia,India,25,CR,Terrestrial,0,0,,5.11,100,1
UMMZ_97618,Manis pentadactyla,1949,Asia,Taiwan,75,CR,Terrestrial,0,0,1940,0.0046,100,1
UMMZ_31587,Manis pentadactyla,,Asia,India,75,CR,Terrestrial,0,0,,0.36,100,1
FMNH_32513,Manis pentadactyla,1929,Asia,Laos,75,CR,Terrestrial,0,0,1920,2.91,100,1
FMNH_32512,Manis pentadactyla,1929,Asia,Laos,75,CR,Terrestrial,1,1,1920,2.91,100,1
FMNH_39284,Manis pentadactyla,1929,Asia,Laos,75,CR,Terrestrial,0,0,1920,4.4,100,1
CAS_16619,Manis pentadactyla,1960,Asia,Taiwan,75,CR,Terrestrial,0,0,1960,4.498,100,1
MSB_MSB:Mamm:13147,Manis pentadactyla,1960,Asia,Taiwan,75,CR,Terrestrial,1,1,1960,4.498,100,1
FMNH_114387,Manis pentadactyla,1973,Asia,Nepal,75,CR,Terrestrial,0,0,1970,4.82,100,1
MVZ_MVZ:Mamm:125554,Manis pentadactyla,1959,Asia,Taiwan,75,CR,Terrestrial,0,0,1950,7.33,0,0
FMNH_75880,Manis pentadactyla,1953,Asia,India,75,CR,Terrestrial,0,0,1950,19.85,100,1
FMNH_75879,Manis pentadactyla,1952,Asia,India,75,CR,Terrestrial,1,0,1950,19.85,100,1
FMNH_75878,Manis pentadactyla,1952,Asia,India,75,CR,Terrestrial,1,1,1950,19.85,100,1
FMNH_75877,Manis pentadactyla,1952,Asia,India,75,CR,Terrestrial,1,1,1950,19.85,100,1
FMNH_75875,Manis pentadactyla,1953,Asia,India,75,CR,Terrestrial,1,1,1950,19.85,100,1
FMNH_75874,Manis pentadactyla,1953,Asia,India,75,CR,Terrestrial,1,1,1950,19.85,100,1
FMNH_84812,Manis pentadactyla,1954,Asia,India,75,CR,Terrestrial,1,0,1950,19.85,100,1
AMNH_M-59927,Manis pentadactyla,1923,Asia,China,75,CR,Terrestrial,0,0,1920,33.32,100,1
FMNH_39384,Manis pentadactyla,1925,Asia,China,75,CR,Terrestrial,0,0,1920,93.27,60.36100406,1
FMNH_39385,Manis pentadactyla,1921,Asia,China,75,CR,Terrestrial,0,0,1920,132.9,100,1
MHNG_MHNG-MAM-299.042,Manis pentadactyla,,Asia,India,75,CR,Terrestrial,0,0,,1200,2.210269495,1
MHNG_MHNG-MAM-769.034,Manis pentadactyla,,Asia,India,75,CR,Terrestrial,1,1,,1200,2.210269495,1
MHNG_MHNG-MAM-769.035,Manis pentadactyla,,Asia,India,75,CR,Terrestrial,1,1,,1200,2.210269495,1
FMNH_75876,Manis pentadactyla,,Asia,India,75,CR,Terrestrial,1,1,,1200,26.85136666,1
O_18153,Manis pentadactyla,,Asia,India,100,CR,Terrestrial,1,1,,1688.15,3.534133456,1
LSUMZ_35002,Manis pentadactyla,1984,Asia,China,100,CR,Terrestrial,1,0,1980,2824.1,13.83845263,1
MCZ_38281,Manis pentadactyla,1939,Asia,Vietnam,100,CR,Terrestrial,1,0,1930,31.27,100,1
O_18152,Manis pentadactyla,,Asia,China,50,CR,Terrestrial,0,0,,46.63,100,1
O_18151,Manis pentadactyla,,Asia,China,50,CR,Terrestrial,1,1,,46.63,100,1
CUMV_11091,Manis pentadactyla,1961,Asia,Taiwan,100,CR,Terrestrial,0,0,1960,46.74,49.84159164,1
USNM_355454,Manis pentadactyla,1960,Asia,Laos,100,CR,Terrestrial,0,0,1960,98.4,99.68655302,1
AMNH_M-184958,Manis pentadactyla,1960,Asia,Taiwan,100,CR,Terrestrial,0,0,1960,106.2,47.41284236,1
AMNH_M-184959,Manis pentadactyla,1960,Asia,Taiwan,100,CR,Terrestrial,1,1,1960,106.2,47.41284236,1
MNHN_MO-1868-1376,Manis pentadactyla,,Asia,China,100,CR,Terrestrial,0,0,,1013.49,10.69772806,1
USNM_240481,Manis pentadactyla,,Asia,Vietnam,25,CR,Terrestrial,0,0,,2.63,100,1
USNM_356431,Manis pentadactyla,1965,Asia,Vietnam,25,CR,Terrestrial,0,0,1960,3.54,100,1
FMNH_39388,Manis pentadactyla,1923,Asia,China,50,CR,Terrestrial,0,0,1920,5.035,100,1
FMNH_39387,Manis pentadactyla,1923,Asia,China,50,CR,Terrestrial,1,1,1920,5.035,100,1
FMNH_39386,Manis pentadactyla,1923,Asia,China,50,CR,Terrestrial,1,1,1920,5.035,100,1
FMNH_146075,Manis pentadactyla,1923,Asia,China,50,CR,Terrestrial,0,0,1920,5.035,100,1
AMNH_M-200533,Manis pentadactyla,,Asia,China,50,CR,Terrestrial,0,0,,5.035,100,1
AMNH_M-60017,Manis pentadactyla,1923,Asia,China,50,CR,Terrestrial,1,0,1920,5.035,100,1
AMNH_M-60015,Manis pentadactyla,1923,Asia,China,50,CR,Terrestrial,1,1,1920,5.035,100,1
AMNH_M-60016,Manis pentadactyla,1923,Asia,China,50,CR,Terrestrial,1,1,1920,5.035,100,1
AMNH_M-60008,Manis pentadactyla,1923,Asia,China,50,CR,Terrestrial,1,1,1920,5.035,100,1
AMNH_M-60010,Manis pentadactyla,1923,Asia,China,50,CR,Terrestrial,1,1,1920,5.035,100,1
AMNH_M-60019,Manis pentadactyla,1923,Asia,China,50,CR,Terrestrial,1,1,1920,5.035,100,1
AMNH_M-60018,Manis pentadactyla,1923,Asia,China,50,CR,Terrestrial,1,1,1920,5.035,100,1
AMNH_M-60022,Manis pentadactyla,1923,Asia,China,50,CR,Terrestrial,1,1,1920,5.035,100,1
AMNH_M-60013,Manis pentadactyla,1923,Asia,China,50,CR,Terrestrial,1,1,1920,5.035,100,1
AMNH_M-60011,Manis pentadactyla,1923,Asia,China,50,CR,Terrestrial,1,1,1920,5.035,100,1
AMNH_M-60012,Manis pentadactyla,1923,Asia,China,50,CR,Terrestrial,1,1,1920,5.035,100,1
AMNH_M-60009,Manis pentadactyla,1923,Asia,China,50,CR,Terrestrial,1,1,1920,5.035,100,1
AMNH_M-60006,Manis pentadactyla,1923,Asia,China,50,CR,Terrestrial,1,1,1920,5.035,100,1
AMNH_M-60014,Manis pentadactyla,1923,Asia,China,50,CR,Terrestrial,1,1,1920,5.035,100,1
AMNH_M-60004,Manis pentadactyla,1922,Asia,China,50,CR,Terrestrial,1,0,1920,5.035,100,1
AMNH_M-60007,Manis pentadactyla,1923,Asia,China,50,CR,Terrestrial,1,1,1920,5.035,100,1
WNMU_WNMU:Mamm:1241,Manis pentadactyla,1967,Asia,Taiwan,75,CR,Terrestrial,0,0,1960,10.86,100,1
EMU_EMU M 250,Manis pentadactyla,,Asia,Taiwan,75,CR,Terrestrial,1,0,,10.86,100,1
ISM_690311,Manis pentadactyla,1960,Asia,Taiwan,75,CR,Terrestrial,1,0,1960,10.86,100,1
KU_83579,Manis pentadactyla,1960,Asia,Taiwan,75,CR,Terrestrial,0,0,1960,11.08,100,1
LACM_008227,Manis pentadactyla,1945,Asia,China,50,CR,Terrestrial,0,0,1940,13.233,100,1
AMNH_M-173637,Manis pentadactyla,1956,Asia,Taiwan,50,CR,Terrestrial,0,0,1950,31.35,82.55990321,1
AMNH_M-60173,Manis pentadactyla,1925,Asia,China,75,CR,Terrestrial,0,0,1920,66.85,100,1
USNM_238735,Manis pentadactyla,1922,Asia,China,25,CR,Terrestrial,0,0,1920,93.71,80.11790537,1
MCZ_19992,Manis pentadactyla,1922,Asia,China,75,CR,Terrestrial,0,0,1920,96.65,70.23275811,1
FMNH_32697,Manis pentadactyla,1929,Asia,Vietnam,25,CR,Terrestrial,0,0,1920,356.79,97.70605889,1
AMNH_M-115628,Manis pentadactyla,1956,Asia,Taiwan,100,CR,Terrestrial,1,0,1950,212.06,25.36159712,1
LSUMZ_8916,Manis pentadactyla,1961,Asia,Taiwan,100,CR,Terrestrial,1,0,1960,212.06,25.36159712,1
ROM_1406120003,Manis pentadactyla,,Asia,Taiwan,100,CR,Terrestrial,1,1,,212.06,25.36159712,1
ROM_1406120004,Manis pentadactyla,,Asia,Taiwan,100,CR,Terrestrial,1,1,,212.06,25.36159712,1
MVZ_MVZ:Mamm:174854,Manis pentadactyla,1818,Asia,Taiwan,100,CR,Terrestrial,1,0,1810,212.06,25.36159712,1
AMNH_M-167959,Manis pentadactyla,1901,Asia,Thailand,75,CR,Terrestrial,0,0,1900,13.34,0,0
MCZ_35947,Manis pentadactyla,1937,Asia,Thailand,75,CR,Terrestrial,0,0,1930,21.67,0,0
MCZ_35957,Manis pentadactyla,1937,Asia,Thailand,75,CR,Terrestrial,1,1,1930,21.67,0,0
UMMZ_114843,Manis pentadactyla,,Asia,Thailand,25,CR,Terrestrial,0,0,,0.005,0,0
USNM_332898,Manis pentadactyla,1958,Asia,Taiwan,100,CR,Terrestrial,0,0,1950,32.187,23.21699582,1
USNM_310829,Manis pentadactyla,1958,Asia,Taiwan,100,CR,Terrestrial,1,1,1950,32.187,23.21699582,1
FMNH_46525,Manis pentadactyla,1937,Asia,Vietnam,75,CR,Terrestrial,0,0,1930,40.234,0,0
FMNH_46524,Manis pentadactyla,1937,Asia,Vietnam,75,CR,Terrestrial,1,1,1930,40.234,0,0
USNM_332899,Manis pentadactyla,1951,Asia,Taiwan,100,CR,Terrestrial,0,0,1950,226.92,24.75074031,1
USNM_311292,Manis pentadactyla,1958,Asia,Taiwan,100,CR,Terrestrial,1,0,1950,226.92,24.75074031,1
AMNH_M-185133,Manis pentadactyla,1959,Asia,Taiwan,100,CR,Terrestrial,1,0,1950,226.92,24.75074031,1
AMNH_M-33947,Manis pentadactyla,1910,Asia,Taiwan,100,CR,Terrestrial,1,0,1910,226.92,24.75074031,1
USNM_294178,Manis pentadactyla,1952,Asia,Taiwan,100,CR,Terrestrial,1,0,1950,226.92,24.75074031,1
USNM_294179,Manis pentadactyla,1952,Asia,Taiwan,100,CR,Terrestrial,1,1,1950,226.92,24.75074031,1
Royal Ontario Museum: ROM_0589,Manis pentadactyla,1967,Asia,Taiwan,100,CR,Terrestrial,1,0,1960,226.92,24.75074031,1
USNM_308865,Manis pentadactyla,,Asia,Taiwan,100,CR,Terrestrial,1,0,,226.92,24.75074031,1
USNM_308864,Manis pentadactyla,,Asia,Taiwan,100,CR,Terrestrial,1,1,,226.92,24.75074031,1
FMNH_32511,Manis pentadactyla,1929,Asia,Vietnam,100,CR,Terrestrial,1,0,1920,881.55,14.71726077,1
AMNH_M-60021,Manis pentadactyla,1923,Asia,China,100,CR,Terrestrial,1,0,1920,3004.96,12.26546544,1
AMNH_M-60020,Manis pentadactyla,1923,Asia,China,100,CR,Terrestrial,1,1,1920,3004.96,12.26546544,1
