WKT,RegistrationNumber,binomial,Year,Continent,Country,Certainty,redlist,ecology,duplicates,duplicates_year,Decade,Extent_km
"POINT (-11.791922 8.560283)",NHMUK_9.8.18.2,Phataginus tricuspis,,Africa,Sierra Leone,100,EN,Arboreal,"1","0",,188.72
"POINT (37.495715 -5.993804)",NHMUK_90.6.8.35,Smutsia temminckii,,Africa,Tanzania,25,VU,Terrestrial,"0","0",,73.15
"POINT (78.222716 11.849062)",NHMUK_91.1.31.1,Manis crassicaudata,,Asia,India,50,EN,Terrestrial,"0","0",,16.7
"POINT (36.354288 -13.16885)",NHMUK_92.8.1.67,Smutsia temminckii,,Africa,Mozambique,50,VU,Terrestrial,"0","0",,301.44
"POINT (114.149957 3.333461)",NHMUK_92.9.4.12,Manis javanica,1892,Asia,Malaysia,75,CR,Arboreal,"0","0",1890,54.83
"POINT (35.333654 -15.376015)",NHMUK_93.7.9.18,Smutsia temminckii,,Africa,Malawi,75,VU,Terrestrial,"0","0",,11.44
"POINT (8.339903 4.976002)",NHMUK_95.7.17.1,Phataginus tricuspis,,Africa,Nigeria,25,EN,Arboreal,"0","0",,7.45
"POINT (24.071906 -30.84085)",NHMUK_96.1.10.1,Smutsia temminckii,,Africa,South Africa,50,VU,Terrestrial,"1","1",,1184.88
"POINT (24.071906 -30.84085)",NHMUK_97.3.11.1,Smutsia temminckii,,Africa,South Africa,50,VU,Terrestrial,"1","1",,1184.88
"POINT (102.087367 12.613618)",NHMUK_98.10.21.5,Manis javanica,1879,Asia,Thailand,75,CR,Arboreal,"0","0",1870,81.39
"POINT (100.757899 18.787118)",NHMUK_98.10.5.49,Manis javanica,1897,Asia,Thailand,100,CR,Arboreal,"0","0",1890,103.66
"POINT (100.399999 6.13551)",NHMUK_98.8.3.6,Manis javanica,1898,Asia,Malaysia,100,CR,Arboreal,"0","0",1890,118.9
"POINT (-11.574761 6.970035)",NHMUK_no reg 1,Smutsia gigantea,1946,Africa,Sierra Leone,75,EN,Terrestrial,"0","0",1940,3.08
"POINT (103.864028 1.355111)",NHMUK_no reg 10,Manis javanica,,Asia,Singapore,25,CR,Arboreal,"0","0",,32.21
"POINT (-1.312712 14.492996)",NHMUK_no reg 11,Smutsia gigantea,,Africa,W. Africa,100,EN,Terrestrial,"1","1",,1955.82
"POINT (-1.312712 14.492996)",NHMUK_no reg 12,Phataginus tetradactyla,,Africa,W. Africa,100,VU,Arboreal,"1","1",,1955.82
"POINT (66.72985 25.11853)",OMNH_659,Manis crassicaudata,1965,Asia,Pakistan,75,EN,Terrestrial,"0","0",1960,3.036
"POINT (81.116669 7.9)",FMNH_92879,Manis crassicaudata,1959,Asia,Sri Lanka,75,EN,Terrestrial,"0","0",1950,3.51
"POINT (76.466667 15.31667)",FMNH_82823,Manis crassicaudata,1922,Asia,India,75,EN,Terrestrial,"0","0",1920,3.69
"POINT (80.92633 8.56667)",KU_26648,Manis crassicaudata,1944,Asia,Sri Lanka,75,EN,Terrestrial,"0","0",1940,4.64
"POINT (81.416672 6.4)",FMNH_98264,Manis crassicaudata,1963,Asia,Sri Lanka,75,EN,Terrestrial,"0","0",1960,13.8
"POINT (75.815918 12.373746)",MCZ_BOM-5305,Manis crassicaudata,1810,Asia,India,75,EN,Terrestrial,"0","0",1810,60.957
"POINT (67.02739 24.89258)",MHNG_MHNG-MAM-1496.018,Manis crassicaudata,1977,Asia,Pakistan,75,EN,Terrestrial,"0","0",1970,88.35
"POINT (79.960437 6.585063)",AMNH_M-34255,Manis crassicaudata,1910,Asia,Sri Lanka,50,EN,Terrestrial,"0","0",1910,4.65
"POINT (88.365405 22.561384)",MCZ_BOM-1066,Manis crassicaudata,1700,Asia,India,75,EN,Terrestrial,"0","0",1700,49.91
"POINT (88.365405 22.561384)",MCZ_BOM-1065,Manis crassicaudata,1700,Asia,India,75,EN,Terrestrial,"1","1",1700,49.91
"POINT (81.401002 6.728362)",MCZ_32522,Manis crassicaudata,1934,Asia,Sri Lanka,100,EN,Terrestrial,"0","0",1930,58
"POINT (118.660777 9.751234)",FMNH_62918,Manis culionensis,1947,Asia,Philippines,75,CR,Arboreal,"0","0",1940,0.5
"POINT (118.660777 9.751234)",AMNH_M-242095,Manis culionensis,,Asia,Philippines,75,CR,Arboreal,"1","0",,0.5
"POINT (118.449997 9.75)",FMNH_62919,Manis culionensis,1947,Asia,Philippines,75,CR,Arboreal,"0","0",1940,0.9
"POINT (118.666702 9.7334)",FMNH_62917,Manis culionensis,1947,Asia,Philippines,75,CR,Arboreal,"0","0",1940,0.9
"POINT (118.449997 9.75)",FMNH_62920,Manis culionensis,1947,Asia,Philippines,75,CR,Arboreal,"1","1",1940,0.9
"POINT (117.755471 8.858048)",KU_165510,Manis culionensis,1999,Asia,Philippines,75,CR,Arboreal,"0","0",1990,1.126
"POINT (119.395556 11.185833)",MCZ_35536,Manis culionensis,1937,Asia,Philippines,75,CR,Arboreal,"0","0",1930,3.036
"POINT (119.395556 11.185833)",MCZ_35535,Manis culionensis,1937,Asia,Philippines,75,CR,Arboreal,"1","1",1930,3.036
"POINT (117.786481 8.818878)",FMNH_62921,Manis culionensis,1947,Asia,Philippines,75,CR,Arboreal,"0","0",1940,24.81
"POINT (118.661025 9.744538)",AMNH_M-29745,Manis culionensis,,Asia,Philippines,25,CR,Arboreal,"0","0",,1
"POINT (118.398316 9.465186)",AMNH_M-203298,Manis culionensis,1962,Asia,Philippines,75,CR,Arboreal,"0","0",1960,247.57
"POINT (103.825 1.384)",UWBM_UWBM:Mamm:82627,Manis javanica,2010,Asia,Singapore,75,CR,Arboreal,"0","0",2010,0.03
"POINT (103.777463 1.348392)",UWBM_UWBM:Mamm:82626,Manis javanica,2011,Asia,Singapore,75,CR,Arboreal,"0","0",2010,0.03
"POINT (103.840903 1.328103)",UWBM_UWBM:Mamm:82629,Manis javanica,2010,Asia,Singapore,75,CR,Arboreal,"0","0",2010,0.03
"POINT (116.5556 6.0801)",MCZ_35720,Manis javanica,1937,Asia,Malaysia,75,CR,Arboreal,"0","0",1930,0.301
"POINT (106.7927055 -6.586652473)",KU_73516,Manis javanica,1955,Asia,Indonesia,75,CR,Arboreal,"0","0",1950,6
"POINT (106.333328 15.33333)",FMNH_37989,Manis javanica,1931,Asia,Laos,75,CR,Arboreal,"0","0",1930,7.25
"POINT (101.7 3.166667)",ROM_36802,Manis javanica,1965,Asia,Malaysia,75,CR,Arboreal,"0","0",1960,15.15
"POINT (103.85722 1.36389)",MVZ_MVZ:Mamm:119379,Manis javanica,1954,Asia,Singapore,75,CR,Arboreal,"0","0",1950,27.044
"POINT (108.546611 -7.003377)",AMNH_M-102180,Manis javanica,1933,Asia,Indonesia,75,CR,Arboreal,"0","0",1930,28.2
"POINT (103.82 1.352)",UWBM_UWBM:Mamm:82628,Manis javanica,1800,Asia,Singapore,75,CR,Arboreal,"0","0",1800,30
"POINT (116.87 6.02)",USNM_488088,Manis javanica,1971,Asia,Malaysia,75,CR,Arboreal,"0","0",1970,48.5
"POINT (118.23333 5.83333)",FMNH_33550,Manis javanica,1929,Asia,Malaysia,75,CR,Arboreal,"0","0",1920,63.79
"POINT (118.116669 5.83333)",FMNH_68743,Manis javanica,1950,Asia,Malaysia,75,CR,Arboreal,"0","0",1950,63.79
"POINT (118.116669 5.83333)",FMNH_68742,Manis javanica,1950,Asia,Malaysia,75,CR,Arboreal,"1","1",1950,63.79
"POINT (104.9167 11.55)",NCSM_8295,Manis javanica,,Asia,Cambodia,75,CR,Arboreal,"0","0",,325
"POINT (113.77358 3.00936)",MHNG_MHNG-MAM-745.041,Manis javanica,,Asia,Malaysia,75,CR,Arboreal,"0","0",,488.84
"POINT (99.016667 12.083333)",RBINS_299B,Manis javanica,,Asia,Myanmar,75,CR,Arboreal,"0","0",,709.66
"POINT (96.666667 19.25)",RBINS_299C,Manis javanica,,Asia,Myanmar,75,CR,Arboreal,"0","0",,1113.26
"POINT (103.80805 1.351617)",UWBM_UWBM:Mamm:82865,Manis javanica,2019,Asia,Singapore,100,CR,Arboreal,"0","0",2010,26.93
"POINT (17.218278 -22.133248)",MCZ_6439,Manis javanica,1700,Africa,Namibia,100,CR,Arboreal,"0","0",1700,736.75
"POINT (101.017361 15.127036)",UWBM_UWBM:Mamm:68927,Manis javanica,1850,Asia,Thailand,100,CR,Arboreal,"0","0",1850,1065.72
"POINT (101.017361 15.127036)",O_18148,Manis javanica,,Asia,Thailand,100,CR,Arboreal,"1","0",,1065.72
"POINT (101.017361 15.127036)",O_18147,Manis javanica,,Asia,Thailand,100,CR,Arboreal,"1","1",,1065.72
"POINT (101.017361 15.127036)",O_18144,Manis javanica,,Asia,Thailand,100,CR,Arboreal,"1","1",,1065.72
"POINT (109.708193 3.792368)",UAZ_UAZ 08572,Manis javanica,,Asia,Malaysia,100,CR,Arboreal,"1","0",,1103.94
"POINT (109.708193 3.792368)",UAZ_UAZ 08573,Manis javanica,,Asia,Malaysia,100,CR,Arboreal,"1","1",,1103.94
"POINT (109.708193 3.792368)",MVZ_MVZ:Mamm:183663,Manis javanica,1818,Asia,Malaysia,100,CR,Arboreal,"1","0",1810,1103.94
"POINT (109.708193 3.792368)",USNM_300925,Manis javanica,1953,Asia,Malaysia,100,CR,Arboreal,"1","0",1950,1103.94
"POINT (106.798437 -6.597855)",MCZ_6999,Manis javanica,1907,Asia,Indonesia,50,CR,Arboreal,"0","0",1900,5.155
"POINT (101.040001 4.472035)",PSM_Mammal-14740,Manis javanica,,Asia,Malaysia,75,CR,Arboreal,"0","0",,10.71
"POINT (101.040001 4.472035)",PSM_Mammal-14739,Manis javanica,1967,Asia,Malaysia,75,CR,Arboreal,"1","0",1960,10.71
"POINT (101.040001 4.472035)",PSM_Mammal-14794,Manis javanica,1970,Asia,Malaysia,75,CR,Arboreal,"1","0",1970,10.71
"POINT (101.040001 4.472035)",PSM_Mammal-14793,Manis javanica,1970,Asia,Malaysia,75,CR,Arboreal,"1","1",1970,10.71
"POINT (101.040001 4.472035)",PSM_Mammal-14792,Manis javanica,1967,Asia,Malaysia,75,CR,Arboreal,"1","1",1960,10.71
"POINT (101.040001 4.472035)",PSM_Mammal-14791,Manis javanica,1966,Asia,Malaysia,75,CR,Arboreal,"1","0",1960,10.71
"POINT (99.105668 2.926891)",USNM_267387,Manis javanica,,Asia,Indonesia,50,CR,Arboreal,"0","0",,10.92
"POINT (99.105668 2.926891)",USNM_267388,Manis javanica,,Asia,Indonesia,50,CR,Arboreal,"1","1",,10.92
"POINT (99.105668 2.926891)",USNM_267389,Manis javanica,,Asia,Indonesia,50,CR,Arboreal,"1","1",,10.92
"POINT (108.732405 14.237838)",MNHN_MO-1962-2119,Manis javanica,,Asia,Vietnam,50,CR,Arboreal,"0","0",,30.92
"POINT (110.481868 -2.632595)",USNM_153975,Manis javanica,1909,Asia,Indonesia,75,CR,Arboreal,"0","0",1900,49.95
"POINT (101.277043 6.541877)",UMZC_E.1306,Manis javanica,1899,Asia,Thailand,100,CR,Arboreal,"0","0",1890,105.14
"POINT (98.599334 10.263699)",USNM_124242,Manis javanica,1904,Asia,Myanmar,25,CR,Arboreal,"0","0",1900,2.76
"POINT (102.949978 -2.99986)",USNM_198319,Manis javanica,1913,Asia,Indonesia,50,CR,Arboreal,"0","0",1910,5.415
"POINT (108.333333 -6.466667)",AMNH_M-101731,Manis javanica,1932,Asia,Indonesia,25,CR,Arboreal,"0","0",1930,7.23
"POINT (108.333333 -6.466667)",AMNH_M-101730,Manis javanica,1932,Asia,Indonesia,25,CR,Arboreal,"1","1",1930,7.23
"POINT (108.333333 -6.466667)",AMNH_M-101732,Manis javanica,1932,Asia,Indonesia,25,CR,Arboreal,"1","1",1930,7.23
"POINT (108.550401 -6.731546)",AMNH_M-101753,Manis javanica,1932,Asia,Indonesia,25,CR,Arboreal,"1","0",1930,7.23
"POINT (108.550401 -6.731546)",AMNH_M-101562,Manis javanica,1932,Asia,Indonesia,25,CR,Arboreal,"1","1",1930,7.23
"POINT (108.550401 -6.731546)",AMNH_M-102077,Manis javanica,1933,Asia,Indonesia,25,CR,Arboreal,"1","0",1930,7.23
"POINT (108.550401 -6.731546)",AMNH_M-102045,Manis javanica,1933,Asia,Indonesia,25,CR,Arboreal,"1","1",1930,7.23
"POINT (108.550401 -6.731546)",AMNH_M-102044,Manis javanica,1933,Asia,Indonesia,25,CR,Arboreal,"1","1",1930,7.23
"POINT (108.550401 -6.731546)",AMNH_M-102043,Manis javanica,1933,Asia,Indonesia,25,CR,Arboreal,"1","1",1930,7.23
"POINT (108.550401 -6.731546)",AMNH_M-102095,Manis javanica,1933,Asia,Indonesia,25,CR,Arboreal,"1","1",1930,7.23
"POINT (108.550401 -6.731546)",AMNH_M-102094,Manis javanica,1933,Asia,Indonesia,25,CR,Arboreal,"1","1",1930,7.23
"POINT (108.550401 -6.731546)",AMNH_M-102041,Manis javanica,1933,Asia,Indonesia,25,CR,Arboreal,"1","1",1930,7.23
"POINT (108.550401 -6.731546)",AMNH_M-102098,Manis javanica,1933,Asia,Indonesia,25,CR,Arboreal,"1","1",1930,7.23
"POINT (108.550401 -6.731546)",AMNH_M-102097,Manis javanica,1933,Asia,Indonesia,25,CR,Arboreal,"1","1",1930,7.23
"POINT (108.550401 -6.731546)",AMNH_M-101677,Manis javanica,,Asia,Indonesia,25,CR,Arboreal,"1","1",,7.23
"POINT (108.550401 -6.731546)",AMNH_M-101566,Manis javanica,1932,Asia,Indonesia,25,CR,Arboreal,"1","1",1930,7.23
"POINT (108.550401 -6.731546)",AMNH_M-101565,Manis javanica,1929,Asia,Indonesia,25,CR,Arboreal,"1","1",1920,7.23
"POINT (108.550401 -6.731546)",AMNH_M-101564,Manis javanica,1929,Asia,Indonesia,25,CR,Arboreal,"1","1",1920,7.23
"POINT (108.550401 -6.731546)",AMNH_M-101563,Manis javanica,1929,Asia,Indonesia,25,CR,Arboreal,"1","1",1920,7.23
"POINT (109.3415 -0.02579)",USNM_142460,Manis javanica,1905,Asia,Indonesia,50,CR,Arboreal,"0","0",1900,8.17
"POINT (109.3415 -0.02579)",USNM_142461,Manis javanica,1905,Asia,Indonesia,50,CR,Arboreal,"1","1",1900,8.17
"POINT (99.05822 2.964133)",MCZ_36022,Manis javanica,1937,Asia,Indonesia,75,CR,Arboreal,"0","0",1930,9.42
"POINT (106.805283 -6.597521)",USNM_154924,Manis javanica,1909,Asia,Indonesia,75,CR,Arboreal,"1","0",1900,10.05
"POINT (101.628332 14.81409)",USNM_236633,Manis javanica,1916,Asia,Thailand,50,CR,Arboreal,"0","0",1910,11.05
"POINT (111.456078 1.235633)",UBCBBM_M008731,Manis javanica,1961,Asia,Malaysia,75,CR,Arboreal,"0","0",1960,12.75
"POINT (111.456078 1.235633)",UBCBBM_M008722,Manis javanica,1961,Asia,Malaysia,75,CR,Arboreal,"1","1",1960,12.75
"POINT (102.252533 2.188317)",MNHN_MO-1897-1867,Manis javanica,,Asia,Malaysia,75,CR,Arboreal,"0","0",,15.97
"POINT (107.184238 16.739653)",MNHN_MO-1923-391,Manis javanica,,Asia,Vietnam,25,CR,Arboreal,"0","0",,16.61
"POINT (117.137068 -0.497256)",USNM_199023,Manis javanica,1914,Asia,Indonesia,50,CR,Arboreal,"0","0",1910,23.69
"POINT (108.197762 16.055118)",USNM_358009,Manis javanica,1968,Asia,Vietnam,50,CR,Arboreal,"0","0",1960,40.53
"POINT (100.493027 13.768977)",MNHN_MO-1883-41,Manis javanica,,Asia,Thailand,25,CR,Arboreal,"0","0",,48.59
"POINT (116.666832 5.953707)",USNM_317200,Manis javanica,1960,Asia,Malaysia,50,CR,Arboreal,"0","0",1960,53.36
"POINT (116.666832 5.953707)",USNM_300924,Manis javanica,1953,Asia,Malaysia,50,CR,Arboreal,"1","0",1950,53.36
"POINT (116.666832 5.953707)",USNM_317198,Manis javanica,1960,Asia,Malaysia,50,CR,Arboreal,"1","1",1960,53.36
"POINT (116.666832 5.953707)",USNM_317199,Manis javanica,1960,Asia,Malaysia,50,CR,Arboreal,"1","1",1960,53.36
"POINT (106.630116 10.823176)",MNHN_MO-1995-30,Manis javanica,,Asia,Vietnam,50,CR,Arboreal,"0","0",,59.32
"POINT (103.903192 0.983325)",USNM_144418,Manis javanica,1907,Asia,Indonesia,25,CR,Arboreal,"0","0",1900,9.39
"POINT (104.427071 -0.471837)",USNM_113114,Manis javanica,1901,Asia,Indonesia,100,CR,Arboreal,"0","0",1900,25.11
"POINT (97.521778 1.127668)",USNM_141165,Manis javanica,1905,Asia,Indonesia,100,CR,Arboreal,"0","0",1900,74.16
"POINT (97.521778 1.127668)",USNM_141164,Manis javanica,1905,Asia,Indonesia,100,CR,Arboreal,"1","1",1900,74.16
"POINT (108.396085 3.499177)",USNM_104598,Manis javanica,1900,Asia,Indonesia,100,CR,Arboreal,"0","0",1900,136.48
"POINT (110.692296 -7.543747)",O_18146,Manis javanica,,Asia,Indonesia,100,CR,Arboreal,"1","1",,594.96
"POINT (110.71095 -7.613886)",O_18145,Manis javanica,,Asia,Indonesia,100,CR,Arboreal,"1","1",,614.26
"POINT (111.0 -7.5)",MHNG_MHNG-MAM-696.072,Manis javanica,,Asia,Indonesia,100,CR,Arboreal,"0","0",,614.67
"POINT (111.0 -7.5)",MHNG_MHNG-MAM-129.027,Manis javanica,,Asia,Indonesia,100,CR,Arboreal,"1","1",,614.67
"POINT (111.0 -7.5)",MHNG_MHNG-MAM-723.008,Manis javanica,,Asia,Indonesia,100,CR,Arboreal,"1","1",,614.67
"POINT (111.0 -7.5)",MHNG_MHNG-MAM-710.073,Manis javanica,,Asia,Indonesia,100,CR,Arboreal,"1","1",,614.67
"POINT (111.0 -7.5)",MHNG_MHNG-MAM-777.048,Manis javanica,,Asia,Indonesia,100,CR,Arboreal,"1","1",,614.67
"POINT (101.362925 -0.542012)",MNHN_MO-1911-1717,Manis javanica,,Asia,Indonesia,100,CR,Arboreal,"0","0",,767.99
"POINT (115.285265 0.440619)",USNM_198852,Manis javanica,1914,Asia,Indonesia,100,CR,Arboreal,"0","0",1910,490
"POINT (108.28687 16.120109)",USNM_356430,Manis javanica,1966,Asia,Vietnam,100,CR,Arboreal,"0","0",1960,7.9
"POINT (106.002536 15.004105)",AMNH_M-87624,Manis javanica,1932,Asia,Laos,100,CR,Arboreal,"0","0",1930,89.78
"POINT (106.002536 15.004105)",AMNH_M-87623,Manis javanica,1932,Asia,Laos,100,CR,Arboreal,"1","1",1930,89.78
"POINT (106.002536 15.004105)",AMNH_M-87622,Manis javanica,1932,Asia,Laos,100,CR,Arboreal,"1","1",1930,89.78
"POINT (98.984683 18.790376)",MCZ_35956,Manis javanica,1937,Asia,Thailand,0,CR,Arboreal,"0","0",1930,0.301
"POINT (104.228986 10.770017)",USNM_321551,Manis javanica,1961,Asia,Cambodia,100,CR,Arboreal,"0","0",1960,2
"POINT (110.327928 1.448246)",AMNH_M-32637,Manis javanica,1910,Asia,Malaysia,75,CR,Arboreal,"0","0",1910,16.093
"POINT (103.763291 18.502743)",MNHN_MO-1985-104,Manis javanica,,Asia,Laos,100,CR,Arboreal,"0","0",,516.14
"POINT (103.763291 18.502743)",MNHN_MO-1929-411,Manis javanica,,Asia,Laos,100,CR,Arboreal,"1","1",,516.14
"POINT (101.017361 15.127036)",USNM_260592,Manis javanica,1935,Asia,Thailand,100,CR,Arboreal,"1","0",1930,864.12
"POINT (101.017361 15.127036)",USNM_535155,Manis javanica,1954,Asia,Thailand,100,CR,Arboreal,"1","0",1950,864.12
"POINT (101.017361 15.127036)",USNM_257682,Manis javanica,1931,Asia,Thailand,100,CR,Arboreal,"1","0",1930,864.12
"POINT (101.017361 15.127036)",USNM_83250,Manis javanica,1896,Asia,Thailand,100,CR,Arboreal,"1","0",1890,864.12
"POINT (101.017361 15.127036)",USNM_86789,Manis javanica,1899,Asia,Thailand,100,CR,Arboreal,"1","0",1890,864.12
"POINT (101.017361 15.127036)",USNM_83513,Manis javanica,1896,Asia,Thailand,100,CR,Arboreal,"1","1",1890,864.12
"POINT (17.218278 -22.133248)",GNM_Ma ex 655,Manis javanica,1910,Africa,Namibia,100,CR,Arboreal,"1","0",1910,950.45
"POINT (17.218278 -22.133248)",GNM_CollAn 2726,Manis javanica,1910,Africa,Namibia,100,CR,Arboreal,"1","1",1910,950.45
"POINT (114.2787 -0.54)",AMNH_M-102149,Manis javanica,1933,Asia,Indonesia,100,CR,Arboreal,"0","0",1930,2658.79
"POINT (114.2787 -0.54)",AMNH_M-102148,Manis javanica,1933,Asia,Indonesia,100,CR,Arboreal,"1","1",1930,2658.79
"POINT (114.2787 -0.54)",AMNH_M-102096,Manis javanica,1933,Asia,Indonesia,100,CR,Arboreal,"1","1",1930,2658.79
"POINT (114.2787 -0.54)",AMNH_M-102042,Manis javanica,1933,Asia,Indonesia,100,CR,Arboreal,"1","1",1930,2658.79
"POINT (114.2787 -0.54)",USNM_121516,Manis javanica,1902,Asia,Indonesia,100,CR,Arboreal,"1","0",1900,2658.79
"POINT (114.2787 -0.54)",USNM_121517,Manis javanica,1902,Asia,Indonesia,100,CR,Arboreal,"1","1",1900,2658.79
"POINT (114.2787 -0.54)",O_18150,Manis javanica,,Asia,Indonesia,100,CR,Arboreal,"1","0",,2658.79
"POINT (114.2787 -0.54)",AMNH_M-103986,Manis javanica,1935,Asia,Indonesia,100,CR,Arboreal,"1","0",1930,2658.79
"POINT (114.2787 -0.54)",AMNH_M-103985,Manis javanica,1935,Asia,Indonesia,100,CR,Arboreal,"1","1",1930,2658.79
"POINT (121.45 25.01667)",UMMZ_97618,Manis pentadactyla,1949,Asia,Taiwan,75,CR,Terrestrial,"0","0",1940,0.0046
"POINT (93 26)",UMMZ_31587,Manis pentadactyla,,Asia,India,75,CR,Terrestrial,"0","0",,0.36
"POINT (102.099999 21.683331)",FMNH_32513,Manis pentadactyla,1929,Asia,Laos,75,CR,Terrestrial,"0","0",1920,2.91
"POINT (102.099999 21.683331)",FMNH_32512,Manis pentadactyla,1929,Asia,Laos,75,CR,Terrestrial,"1","1",1920,2.91
"POINT (106.599999 16.616671)",FMNH_39284,Manis pentadactyla,1929,Asia,Laos,75,CR,Terrestrial,"0","0",1920,4.4
"POINT (121.53333 24.95)",CAS_16619,Manis pentadactyla,1960,Asia,Taiwan,75,CR,Terrestrial,"0","0",1960,4.498
"POINT (121.53333 24.95)",MSB_MSB:Mamm:13147,Manis pentadactyla,1960,Asia,Taiwan,75,CR,Terrestrial,"1","1",1960,4.498
"POINT (87.199997 27.299999)",FMNH_114387,Manis pentadactyla,1973,Asia,Nepal,75,CR,Terrestrial,"0","0",1970,4.82
"POINT (119.622147 23.559164)",MVZ_MVZ:Mamm:125554,Manis pentadactyla,1959,Asia,Taiwan,75,CR,Terrestrial,"0","0",1950,7.33
"POINT (91.76667 25.466669)",FMNH_75880,Manis pentadactyla,1953,Asia,India,75,CR,Terrestrial,"0","0",1950,19.85
"POINT (91.76667 25.466669)",FMNH_75879,Manis pentadactyla,1952,Asia,India,75,CR,Terrestrial,"1","0",1950,19.85
"POINT (91.76667 25.466669)",FMNH_75878,Manis pentadactyla,1952,Asia,India,75,CR,Terrestrial,"1","1",1950,19.85
"POINT (91.76667 25.466669)",FMNH_75877,Manis pentadactyla,1952,Asia,India,75,CR,Terrestrial,"1","1",1950,19.85
"POINT (91.76667 25.466669)",FMNH_75875,Manis pentadactyla,1953,Asia,India,75,CR,Terrestrial,"1","1",1950,19.85
"POINT (91.76667 25.466669)",FMNH_75874,Manis pentadactyla,1953,Asia,India,75,CR,Terrestrial,"1","1",1950,19.85
"POINT (91.76667 25.466669)",FMNH_84812,Manis pentadactyla,1954,Asia,India,75,CR,Terrestrial,"1","0",1950,19.85
"POINT (109.35 19.383333)",AMNH_M-59927,Manis pentadactyla,1923,Asia,China,75,CR,Terrestrial,"0","0",1920,33.32
"POINT (119.366669 25.716667)",FMNH_39384,Manis pentadactyla,1925,Asia,China,75,CR,Terrestrial,"0","0",1920,93.27
"POINT (118.166664 26.633333)",FMNH_39385,Manis pentadactyla,1921,Asia,China,75,CR,Terrestrial,"0","0",1920,132.9
"POINT (79.833333 7.466667)",RBINS_301B,Manis crassicaudata,1932,Asia,Sri Lanka,75,EN,Terrestrial,"0","0",1930,274.14
"POINT (78.92 20.66)",MHNG_MHNG-MAM-299.042,Manis pentadactyla,,Asia,India,75,CR,Terrestrial,"0","0",,1200
"POINT (78.92 20.66)",MHNG_MHNG-MAM-769.034,Manis pentadactyla,,Asia,India,75,CR,Terrestrial,"1","1",,1200
"POINT (78.92 20.66)",MHNG_MHNG-MAM-769.035,Manis pentadactyla,,Asia,India,75,CR,Terrestrial,"1","1",,1200
"POINT (93 26)",FMNH_75876,Manis pentadactyla,,Asia,India,75,CR,Terrestrial,"1","1",,1200
"POINT (79.616202 22.883478)",O_18153,Manis pentadactyla,,Asia,India,100,CR,Terrestrial,"1","1",,1688.15
"POINT (103.891767 36.519977)",LSUMZ_35002,Manis pentadactyla,1984,Asia,China,100,CR,Terrestrial,"1","0",1980,2824.1
"POINT (78.11667 17.63333)",ROM_2603230109,Manis crassicaudata,,Asia,India,50,EN,Terrestrial,"0","0",,1.09962
"POINT (103.84197 22.337791)",MCZ_38281,Manis pentadactyla,1939,Asia,Vietnam,100,CR,Terrestrial,"1","0",1930,31.27
"POINT (118.54047 27.922942)",O_18152,Manis pentadactyla,,Asia,China,50,CR,Terrestrial,"0","0",,46.63
"POINT (118.54047 27.922942)",O_18151,Manis pentadactyla,,Asia,China,50,CR,Terrestrial,"1","1",,46.63
"POINT (121.292493 24.993759)",CUMV_11091,Manis pentadactyla,1961,Asia,Taiwan,100,CR,Terrestrial,"0","0",1960,46.74
"POINT (103.464259 19.446683)",USNM_355454,Manis pentadactyla,1960,Asia,Laos,100,CR,Terrestrial,"0","0",1960,98.4
"POINT (121.601619 23.994239)",AMNH_M-184958,Manis pentadactyla,1960,Asia,Taiwan,100,CR,Terrestrial,"0","0",1960,106.2
"POINT (121.601619 23.994239)",AMNH_M-184959,Manis pentadactyla,1960,Asia,Taiwan,100,CR,Terrestrial,"1","1",1960,106.2
"POINT (88.774278 31.201632)",MNHN_MO-1868-1376,Manis pentadactyla,,Asia,China,100,CR,Terrestrial,"0","0",,1013.49
"POINT (102.108459 21.682033)",USNM_240481,Manis pentadactyla,,Asia,Vietnam,25,CR,Terrestrial,"0","0",,2.63
"POINT (106.731998 16.619479)",USNM_356431,Manis pentadactyla,1965,Asia,Vietnam,25,CR,Terrestrial,"0","0",1960,3.54
"POINT (109.566666 19.516666)",FMNH_39388,Manis pentadactyla,1923,Asia,China,50,CR,Terrestrial,"0","0",1920,5.035
"POINT (109.566666 19.516666)",FMNH_39387,Manis pentadactyla,1923,Asia,China,50,CR,Terrestrial,"1","1",1920,5.035
"POINT (109.566666 19.516666)",FMNH_39386,Manis pentadactyla,1923,Asia,China,50,CR,Terrestrial,"1","1",1920,5.035
"POINT (109.550003 19.51667)",FMNH_146075,Manis pentadactyla,1923,Asia,China,50,CR,Terrestrial,"0","0",1920,5.035
"POINT (109.546444 19.515351)",AMNH_M-200533,Manis pentadactyla,,Asia,China,50,CR,Terrestrial,"0","0",,5.035
"POINT (109.546444 19.515351)",AMNH_M-60017,Manis pentadactyla,1923,Asia,China,50,CR,Terrestrial,"1","0",1920,5.035
"POINT (109.546444 19.515351)",AMNH_M-60015,Manis pentadactyla,1923,Asia,China,50,CR,Terrestrial,"1","1",1920,5.035
"POINT (109.546444 19.515351)",AMNH_M-60016,Manis pentadactyla,1923,Asia,China,50,CR,Terrestrial,"1","1",1920,5.035
"POINT (109.546444 19.515351)",AMNH_M-60008,Manis pentadactyla,1923,Asia,China,50,CR,Terrestrial,"1","1",1920,5.035
